,Gross domestic product 2024,,,,
,,,,,
,,,,(millions of,
,Ranking,,Economy,US dollars),
,,,,,
CHI,147,,Channel Islands," 12,508 ",
SOM,148,,Somalia," 12,109 ",
XKX,149,,Kosovo," 11,149 ",
MWI,150,,Malawi," 11,009 ",
MRT,151,,Mauritania," 10,767 ",
MCO,152,,Monaco," 9,995 ",
TGO,153,,Togo," 9,926 ",
NCL,154,,New Caledonia," 9,623 ",
BMU,155,,Bermuda," 8,980 ",
LIE,156,,Liechtenstein," 8,288 ",
MNE,157,,Montenegro," 8,070 ",
SLE,158,,Sierra Leone," 7,548 ",
IMN,159,,Isle of Man," 7,431 ",
BRB,160,,Barbados," 7,165 ",
CYM,161,,Cayman Islands," 7,139 ",
MDV,162,,Maldives," 6,975 ",
GUM,163,,Guam," 6,910 ",
PYF,164,,French Polynesia," 6,402 ",
FJI,165,,Fiji," 5,841 ",
SWZ,166,,Eswatini," 4,892 ",
LBR,167,,Liberia," 4,750 ",
SUR,168,,Suriname," 4,714 ",
VIR,169,,Virgin Islands (U.S.)," 4,672 ",
DJI,170,,Djibouti," 4,086 ",
AND,171,,Andorra," 4,040 ",
FRO,172,,Faroe Islands," 3,907 ",
ABW,173,,Aruba," 3,649 ",
BLZ,174,,Belize," 3,516 ",
GRL,175,,Greenland," 3,327 ",
CUW,176,,Curaçao," 3,281 ",
BTN,177,,Bhutan," 3,019 ",
CPV,178,,Cabo Verde," 2,768 ",
CAF,179,,Central African Republic," 2,752 ",
LCA,180,,St. Lucia," 2,549 ",
GMB,181,,"Gambia, The"," 2,508 ",
LSO,182,,Lesotho," 2,272 ",
ATG,183,,Antigua and Barbuda," 2,225 ",
SYC,184,,Seychelles," 2,167 ",
BDI,185,,Burundi," 2,162 ",
GNB,186,,Guinea-Bissau," 2,120 ",
TLS,187,,Timor-Leste," 1,881 ",
SMR,188,,San Marino," 1,832 ",
SLB,189,,Solomon Islands," 1,761 ",
TCA,190,,Turks and Caicos Islands," 1,745 ",
SXM,191,,Sint Maarten (Dutch part)," 1,735 ",
COM,192,,Comoros," 1,546 ",
GRD,193,,Grenada," 1,391 ",
VUT,194,,Vanuatu," 1,161 ",
VCT,195,,St. Vincent and the Grenadines," 1,157 ",
MNP,196,,Northern Mariana Islands," 1,096 ",
WSM,197,,Samoa," 1,068 ",
KNA,198,,St. Kitts and Nevis," 1,067 ",
ASM,199,,American Samoa, 871 ,
STP,200,,São Tomé and Principe, 764 ,
DMA,201,,Dominica, 689 ,
TON,202,,Tonga, 509 ,
FSM,203,,"Micronesia, Fed. Sts.", 471 ,
KIR,204,,Kiribati, 308 ,
PLW,205,,Palau, 282 ,
MHL,206,,Marshall Islands, 280 ,
NRU,207,,Nauru, 160 ,
TUV,208,,Tuvalu, 62 ,
VGB,,,British Virgin Islands, -   ,
CUB,,,Cuba, -   ,
ERI,,,Eritrea, -   ,
GIB,,,Gibraltar, -   ,
PRK,,,"Korea, Dem. People's Rep.", -   ,
SSD,,,South Sudan, -   ,
MAF,,,St. Martin (French part), -   ,
VEN,,,"Venezuela, RB", -   ,
YEM,,,"Yemen, Rep.", -   ,
,,,,,
,,,,,
,,,,,
WLD,,,World," 111,326,370 ",
,,,,#N/A,
,,,,,
EAS,,,East Asia & Pacific," 31,882,663 ",
ECS,,,Europe & Central Asia," 29,146,937 ",
LCN,,,Latin America & Caribbean," 7,313,632 ",
MEA,,,Middle East & North Africa," 5,025,773 ",
NAC,,,North America," 31,435,123 ",
SAS,,,South Asia," 4,514,925 ",
SSF,,,Sub-Saharan Africa," 1,957,703 ",
LIC,,,Low income," 466,542 ",
LMC,,,Lower middle income," 7,857,490 ",
UMC,,,Upper middle income," 30,891,809 ",
HIC,,,High income," 71,522,996 ",
,,,,,
,"- Not available.  
Note: Table list 217 economies, but rankings include only those with confirmed GDP estimates for at least one year during the last three years period. Figures in italics are for 2023 or 2022.
a. Based on data from official statistics of Ukraine and Russian Federation as well as the United Nations; by relying on these data, the World Bank does not intend to make any judgment on the legal or other status of the territories concerned or to prejudice the final determination of the parties' claims.  b. Includes Western Sahara.  c. Covers mainland Tanzania only.  d. Data are for the area controlled by the government of Cyprus.  e. Excludes Abkhazia and South Ossetia.  f. Excludes Transnistria.",,,,
,,,,,
,,,,,
,GDP data source: http://data.worldbank.org/data-catalog/world-development-indicators,,,,
,GDP projections:  http://data.worldbank.org/data-catalog/global-economic-prospects,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
