,Population 2024,,,,,
,,,,,,
,,,,,,
,Ranking,,Economy,(thousands),,
,,,,,,
ALB,142,,Albania," 2,715 ",,
GAB,143,,Gabon," 2,539 ",,
BWA,144,,Botswana," 2,521 ",,
MDA,145,,Moldova," 2,389 ",b,
LSO,146,,Lesotho," 2,337 ",,
GNB,147,,Guinea-Bissau," 2,201 ",,
SVN,148,,Slovenia," 2,126 ",,
GNQ,149,,Equatorial Guinea," 1,893 ",,
LVA,150,,Latvia," 1,862 ",,
MKD,151,,North Macedonia," 1,792 ",,
BHR,152,,Bahrain," 1,589 ",,
XKX,153,,Kosovo," 1,527 ",,
TLS,154,,Timor-Leste," 1,401 ",,
EST,155,,Estonia," 1,372 ",,
TTO,156,,Trinidad and Tobago," 1,368 ",,
CYP,157,,Cyprus," 1,358 ",,
MUS,158,,Mauritius," 1,260 ",,
SWZ,159,,Eswatini," 1,243 ",,
DJI,160,,Djibouti," 1,169 ",,
FJI,161,,Fiji, 929 ,,
COM,162,,Comoros, 867 ,,
GUY,163,,Guyana, 831 ,,
SLB,164,,Solomon Islands, 819 ,,
BTN,165,,Bhutan, 792 ,,
MAC,166,,"Macao SAR, China", 687 ,,
LUX,167,,Luxembourg, 678 ,,
SUR,168,,Suriname, 634 ,,
MNE,169,,Montenegro, 624 ,,
MLT,170,,Malta, 574 ,,
MDV,171,,Maldives, 528 ,,
CPV,172,,Cabo Verde, 525 ,,
BRN,173,,Brunei Darussalam, 463 ,,
BLZ,174,,Belize, 417 ,,
ISL,175,,Iceland, 405 ,,
BHS,176,,"Bahamas, The", 401 ,,
VUT,177,,Vanuatu, 328 ,,
NCL,178,,New Caledonia, 293 ,,
BRB,179,,Barbados, 282 ,,
PYF,180,,French Polynesia, 282 ,,
STP,181,,São Tomé and Principe, 236 ,,
WSM,182,,Samoa, 218 ,,
LCA,183,,St. Lucia, 180 ,,
CHI,184,,Channel Islands, 168 ,,
GUM,185,,Guam, 168 ,,
CUW,186,,Curaçao, 156 ,,
KIR,187,,Kiribati, 135 ,,
SYC,188,,Seychelles, 121 ,,
